502710	763430
502720	430210
502750	6010,6040,10100,10110,32310,32340,32360,34270,1071540,283310,283980,308000,313870,331690,338420,343800,343830,345290,353790,355170,385840,388210,395250,400370,411610,461950,464050,494740,529890,559640,564960,569050,569860,595560,610900,204630,215160,220860,221830,711920,730820,746750,763970,799510,844590,977300
502770	3320,1063790,421040,536320,593150,649790,715050,767420,772700,807850,888220,913110,913720,957850
502800	7510,37010,1020210,1023740,1024500,1026670,1028130,1029240,1041400,1047830,1055590,1057490,1060670,1068070,1077580,1099830,250640,262150,263620,272510,292480,311730,319470,329490,331600,348470,348710,349040,369230,372540,383080,383710,387340,390710,408000,411830,412380,415300,418340,418640,425220,444190,446390,460790,467930,469990,496810,502280,508190,511680,514310,523680,529000,543870,545250,550080,555950,561930,562410,574860,580880,581230,610190,622220,625770,632350,635730,638970,639780,214590,234670,660180,662660,665090,674980,680700,696170,704910,710030,714080,729320,771240,774171,789760,794580,795760,831560,838380,851890,865090,873200,873240,878150,880210,886040,886960,889510,889770,893180,906050,914140,914690,915460,918900,925290,927890,932160,946550,947600,958480,963690,969870,974470,991600,995240,998930,1002800,1004240,1007280,1015660
502940	1069320,1099720,403740,507010,515040,547850,877370,906590,985040
503010	545050,895040,988460
503100	542110
503300	1097580,389510
503320	355270
503350	251170,293860,352460,381210,388730,412770,455120,480430,491070,567130,599080,722960,733800,774861,859570,921890,939100
503400	1071130,308560,435840,600370,678920,694430,774331,917380,1002980
503460	1510,401910,562570,789210
503550	40800,1071190,453810,743850,765060,958360
