10	65943	68338
20	2370	2887
30	1767	2055
40	776	966
50	4260	4506
60	1703	2185
70	22141	23084
80	8194	9298
130	3128	3485
220	50194	52010
240	45303	47562
280	3241	4172
300	6445	7300
320	3695	4246
340	4207	4957
360	1127	1513
380	6009	6402
400	40311	41166
420	10473	11000
440	527917	562828
500	13577	14360
550	155422	160945
570	879313	1025339
620	106276	107814
630	17586	18530
730	2727293	3141425
1002	14	21
1200	822	980
1300	232	271
1500	298	416
1510	1114	1233
1520	1505	1791
1530	241	291
1600	127	163
1610	106	129
1620	0	0
1630	409	512
1640	450	592
1670	124	215
1690	169	247
1700	642	744
1840	15496	16636
1900	323	469
2200	1190	1243
2270	1563	1647
2280	3354	3598
2290	505	587
2300	2238	2416
2310	2400	2524
2320	1252	1351
2330	57	69
2340	44	76
2350	92	116
2360	244	270
2370	56	75
2390	393	421
2400	2033	2436
2420	242	362
2450	560	731
2520	43	80
2540	145	221
2570	19	108
2620	1393	1498
2630	2082	2300
2640	435	519
2700	2833	3197
2710	164	193
2720	12	13
2780	127	192
2800	169	210
2810	213	294
2820	1163	1363
2840	100	131
2850	33	46
2870	1929	4867
2900	53	70
2910	3	3
2920	31	46
2990	4881	5189
3010	123	161
3050	63	89
3130	238	288
3170	394	440
3230	24	102
3260	179	306
3300	117	130
3310	171	185
3320	1171	1229
3330	446	486
3340	34	39
3350	49	59
3360	25	28
3390	292	302
3400	31	33
3410	74	101
3420	11	12
3430	50	52
3440	30	31
3450	71	96
3460	11	11
3480	875	915
3483	718	777
3490	11	13
3500	7	10
3510	19	26
3520	8	12
3530	22	29
3540	317	335
3560	99	121
3570	6	11
3580	12	15
3590	13484	13918
3600	32	44
3610	8	11
3620	352	369
3700	1076	1409
3720	1778	1871
3800	197	248
3830	4776	4960
3900	993	1086
3910	1623	1821
3920	2219	2369
3960	33	77
3980	171	231
3990	85	97
4000	302759	316767
4100	4	10
4230	55	70
4300	24	30
4420	47	81
4460	74	114
4470	30	43
4520	92	143
4530	66	102
4700	7293	7763
4760	5964	6412
4770	278	396
4780	503	530
4800	180	197
4850	954	1086
4870	82	99
4880	133	188
4890	198	315
4900	126	145
4920	5425	6354
6000	5601	5959
6010	562	592
6020	4826	5110
6030	1736	1921
6040	535	587
6060	25393	27616
6080	252	284
6090	110	125
6200	924	1068
6210	80	107
6220	1769	1936
6250	407	509
6270	57	141
6300	531	620
6310	979	1071
6370	1368	1595
6400	71	82
6420	433	520
6510	430	585
6550	1176	2069
6600	30	60
6800	1330	1515
6810	352	416
6830	1140	1364
6840	357	595
6870	263	365
6980	1022	1230
7010	164	224
7020	230	245
7110	756	1017
7200	810	860
7210	197	272
7220	76	133
7260	63	115
7340	6	10
7520	1726	3008
7530	95	233
7600	753	1162
7610	328	457
7620	413	493
7650	315	338
7660	378	420
7730	42	82
7760	1703	1765
7770	99	189
7830	1418	1645
7860	371	545
8170	912	1425
8200	244	278
8210	39	40
8220	34	37
8230	11	12
8240	35	36
8250	31	33
8260	70	76
8270	23	28
8280	23	24
8290	24	26
8300	21	23
8310	46	71
8320	22	31
8330	34	59
8340	162	178
8350	6	10
8360	6	9
8370	4	7
8380	5	7
8400	527	587
8500	8704	11735
8790	125	137
8800	1013	1061
