0	63620,508440,270880,751780,433340,601510,47890,477160,227300,453480,666140,627690,774861
10	222880,581320,242860,418460,489940,736220,611500,504370,324810,444090,13230,519860,282440,218620,202970,4920,300,30,232090,550,755790,813820,433850,893520,823130,594650,555440,625340,939510,252490,550650,107410,35450,33930,674020,496240,227940,342200,552990,10180,273110,394230,570,22350,611020,13240,13210,40,2320,2210,2280,379720
20	291480,394230,218230,677620,813820,570,22350,755790,611020,552990,550650,240,578080,2200,736220,35450,489940,447820,418460,10090,236390,2640,242860,222880,581320,202970,4920,227940,2630,386360,24240,15120,460930,555440,939960,1250,594650,500,239140,383150,671510,251570,342180,274940,273110,42700,939510,107410,33930,674020,496240
30	236390,242860,919640,91330,244450,234510,581320,476600,550,1250,42700,232090,594650,500,291480,311210,273110,686810,312660,444200,2620,24840,15190,218230,552990,342200,550650,240,359550,222880,10,677620,440,578080,107410,674020,496240,33930
40	2320,2210,10,782330,214870,208200,519860,39530,9050,311210,232090,548570,324810,217140,6000,6030,32380,6020,32470,32390,32370,488430,32400,32440,460930,361670,356500,555160,504370,489940,338170,604240,674020,853770,578080,328070,476600,550,1250,42700,2630,594650,500,227940,291480,273110,730,218230,444090,440,2300,2310,1010750,2270,2290,9160
50	6000,7670,8870,311210,287390,286690,16450,377160,2300,2310,1010750,2270,2290,9160,13240,782330,214870,208200,519860,39530,9050,232090,548570,1058020,6030,32380,6020,32470,32390,32370,488430,32400,32440,460930,13210,405830,13230,282440,611500,40,2210,677620,10
60	6030,6020,32470,32390,32370,488430,32400,32440,460930,218230,361670,356500,782330,214870,208200,519860,39530,9050,311210,232090,548570,13230,13240,13210,282440,611500,40,2210,677620,10,2300,2310,1010750,2270,2290,9160,50,280,220,130,420,362890,405830,49520,8980,1085660,440,324800,4000,939960,41070,620,204340,564310,10180,730,2620,2630,393080,2640,489940,24960,10090,240,42700,594650,578080,552520,252870,550,500,298110,704270,49540
70	380,7670,8870,2300,2310,1010750,2270,2290,9160,13240,782330,214870,13210,405830,13230,311210,282440,611500,40,2210,677620,10,1058020,6030,32380,6020,32470,32390,32370,488430,32400,32440,460930,377160,287390,286690,16450,208200,519860,39530,9050,232090,548570,218230
80	677620,291480,581320,218230,242860,218620,418460,736220,4920,20,2200,550650,232090,500,10180,550,444090,107410,35450,33930,674020,496240,227940,10090,476600,447820,686810,312660,444200,2640,2630,755790,813820,433850,893520,823130,594650,555440,625340,939510,252490,394230,570,22350,611020,552990,460930,235600
100	386360,504370,444090,235340,771060,677620,572520,440,552990,394230,1025580,206500,4700,34030,10500,214950,325610,712100,394360,289070,4760,594570,1068220,357310,240,222880,10,291480,393380,578080,581320,218230,242860,218620,202970,418460,736220,4920,372000,306130,323370,582660,212500,206480,560380,109600,630100,268420,215830,230330,436180,755790,224600,375230,767560,212070,447040,460930,113400,851100,253840,790360,838310,1029770,400910,428550,203510,620220,535480,282530,252030,485610,687850,703940,580820,785260,770240,903730,752170,207140,399820,261640,8980,1085660,324800,729040,107410,939960,4000,298110,219640,304390,944250,1066740,578620,17570,349510,344760,680330,1000480,404590,393420,251570,386180,648800,346110,299740,440900,383120,105600,418030,382310,387990,874240,212160,99900,414530,844870,495910,761890,808290,216150,537180
130	7670,6060,2200,6000,287390,286690,16450,377160,2300,2310,1010750,2270,2290,9160,13240,782330,214870,208200,519860,39530,9050,232090,548570,292730,42700,10090,476600,550,939510,500,594650,218230,239140,202970,13210,405830,13230,201810,8850,10180,42670,612880,205100,238010
220	2280,2320,2200,377160,311210,8850,201810,205100,409710,409720,4500,10180,42670,612880,238010,287390,286690,16450,782330,214870,208200,519860,39530,9050,232090,548570,1058020,32380,32470,6030,6020,32390,32400,32370,218230,32440,488430,460930
240	440,581320,242860,20,24960,2200,218620,202970,4920,444090,550650,552990,755790,227940,342200,10180,273110,611500,504370,324810,13230,519860,282440,107410,35450,33930,674020,496240,813820,447820,300,10090,476600,686810,312660,444200,2640,2630,433850,893520,823130,594650,555440,625340,939510,252490,236390,919640,91330,244450
280	2200,6000,311210,287390,286690,8870,16450,377160,2300,2310,1010750,2270,2290,9160,13240,782330,214870,208200,519860,39530,9050,232090,548570,13210,405830,13230,8850,201810,205100,409710,409720,4500,1058020,6030,32380,6020,32470,32390,32370,488430,32400,32440,460930
300	919640,91330,227940,244450,2630,234510,581320,476600,686810,312660,444200,107410,674020,222880,496240,550,1250,42700,232090,594650,500,291480,311210,273110,33930,307960,552990,223750,231430,251950,240,359550,10,677620,440,578080,218230,2620,24840,15190,633460
320	222880,393380,218620,242860,202970,291480,418460,736220,4920,444090,394230,813820,570,22350,755790,611020,552990,550650,240,10,581320,49520,8980,1085660,324800,4000,939960,41070,620,204340,564310,433850,893520,823130,594650,555440,625340,939510,252490,611500,504370,324810,13230,519860,282440,611660,377160,9200,782330,22380,304930,704270,550,342180,4500,227940,342200,232090,552520,252870,500,298110,49540,292730,42700,10090,476600,239140,877200,496240,686810,674020,489940,618500,450540,13240,13210,40,2320,2210,2280,379720
340	7670,50,6000,6060,2280,2320,17300,17330,337000,10680,480490,201810,210770,612880,292730,2200,8850,10180,42670,205100,238010,287390,286690,16450,782330,214870,208200,519860,39530,9050,232090,548570,42700,10090,476600,550,939510,500,594650,218230,239140,202970,22380,22370,22300,234140,8980,412020,305620,611660,939960,9200,4500
360	782330,214870,208200,2280,519860,39530,9050,311210,232090,6030,32380,32470,32390,32370,488430,32400,32440,460930,361670,356500,218230,50,220,130,420,362890,13230,13240,13210,282440,611500,40,2210,677620,10,208580,32430,32500,2300,2310,2290,1010750,405830,611660,377160,9200,8980,939960,22380,304930,704270,550,342180,4500,380,7670,10090,41000,548430,204340,252490,49520,1085660,440,324800,4000,41070,620,564310
380	6000,6060,287390,286690,16450,2280,2320,2200,201810,8850,10180,42670,612880,205100,238010,409710,409720,4500,292730,232090,42700,10090,476600,550,939510,500,594650,218230,239140,202970,782330,214870,208200,519860,39530,9050,548570,22380,22370,22300,234140,8980,412020,305620,611660,939960,9200
400	261640,8980,32510,238460,939960,204340,501590,32440,704270,3590,250050,451570,1081250,397950,437920,544330,218680,359100,312230,214490,622010,257510,343860,480490,300570,275850,812020,641320,842140,657200,269950,508440,469610,450540,233720,284160,543580,413410,413420,567640,406550,311240,368370,477740,358090,412830,653530,476650,310360,265210,244850,387990,383120,324800,286160,477160,732690,846470,418370,220740,421050,214340,32360,569860,730820,316790,330830,228360,32460,201810,8870,350080,1056960,476600,9010,548570,311210,42670,782330,857980,673130,914020,237850,345390,750050,675010,47890,645630,107410,220200,648800,397340,573090
420	6000,6060,2280,2320,2200,287390,286690,16450,201810,8850,10180,42670,612880,205100,238010,409710,409720,4500,22380,22370,22300,234140,548570,8980,412020,305620,611660,939960,9200,782330,214870,208200,519860,39530,9050,232090,292730,42700,10090,476600,550,939510,500,594650,218230,239140,202970
440	730,386360,227940,393380,342200,10180,273110,261640,8980,49520,555440,578080,611500,504370,324810,2200,13230,519860,282440,433850,893520,994200,939510,439700,823130,884660,809960,544920,788880,235340,771060,572520,1025580,206500,218620,359550,15120,202970,625340,333930,20,439370,236390,444200,390670,736220,505460,489940,674020
500	383150,342180,274940,273110,383180,555440,238430,578080,218230,444090,550650,730,552990,755790,227940,440,393380,342200,10180,476600,2630,311210,299740,221100,355840,433850,108600,252490,648800,366090,105600,346110,265550,382310,440900,418460,581320,113420,1044200,386180,337950,280790
550	342180,274940,273110,383180,304930,555440,238430,578080,476600,2630,227940,311210,299740,265550,218230,444090,550650,730,552990,755790,440,393380,342200,10180,108600,252490,648800,366090,105600,346110,382310,440900,418460,581320,221100,355840,433850
