0	4470
1002650	1007260
1007280	1011090
1011110	1014960
1014970	1019400
1019420	1024150
1024160	1028340
1028360	1032590
1032650	1037020
1037040	1042150
1042160	1047190
1047240	1051320
1051330	1055770
10520	17500
1055780	1060030
1060060	1063970
1063980	1067720
1067760	1072040
1072050	1076920
1077030	1084920
1084970	1096120
1096140	1103430
1103540	1109080
17570	27800
201290	209160
209170	218060
218090	227160
227180	236010
236090	244730
244750	251470
251490	257730
257750	263040
263060	268750
268770	274560
274620	281990
27810	34420
282010	287140
287200	292200
292230	297080
297100	301920
301930	306680
306700	312630
312640	316810
316830	322130
322170	327310
327370	332070
332150	336440
336520	340320
340330	343430
343440	347230
34440	41740
347240	351140
351150	355270
355280	359090
359100	363270
363330	366380
366410	370270
370300	374080
374150	377880
377890	382560
382570	386180
386200	389900
389940	393770
393790	397780
397800	402170
402180	406290
406300	410840
410850	415200
415240	419590
41900	51060
419700	424760
424780	429430
429470	433570
433580	436820
436850	440961
440962	443830
443850	446380
446390	448530
448540	450440
4500	10500
450460	452620
452630	454680
454690	458820
458830	462480
462520	465860
465870	469730
469790	476700
476710	485860
485870	490170
490220	494040
494050	497080
497090	501090
501110	504090
504100	508740
508760	512000
512020	514750
514760	518920
519020	523080
523090	527270
527280	530390
530470	534750
534820	539400
539440	543580
543600	546870
546900	551050
55000	91600
551060	554290
554310	557730
557750	562290
562310	566200
566220	569770
569800	574040
574050	577120
577150	581340
581360	585900
585910	589110
589150	593340
593400	597670
597700	601430
601490	604640
604740	610110
610120	613590
613610	618070
618080	622200
622220	626570
626580	630650
630670	636470
636480	642700
642710	647660
647670	652050
652060	655460
655480	658430
658440	661650
661660	665180
665200	668410
668430	671690
671700	674400
674420	677850
677870	681100
681110	684430
684460	688360
688370	691860
691890	696050
696110	699820
699830	703400
703430	706980
706990	710650
710670	714120
714130	717980
718010	722010
722020	725920
725950	729370
729390	733530
733540	738060
738100	742250
742300	746020
746030	749420
749470	752750
752760	756630
756640	760360
760400	763720
763730	767330
767340	771140
771170	774511
774531	778370
778380	781640
781650	786140
786170	789380
789480	792500
792530	796140
796260	799860
799870	803270
803290	806800
806830	810570
810580	814580
814590	817800
817810	821190
821230	824880
824900	829630
829660	834380
834390	838620
838630	842070
842080	845450
845460	849163
849164	852870
852900	856770
856790	860330
860340	863810
863840	867480
867490	870520
870570	874370
874380	878170
878180	881730
881750	885190
885210	888780
888790	892630
892640	896350
896370	899970
899990	906390
906430	910250
910260	913640
913650	917220
91700	201271
917240	922040
922060	925900
925910	930580
930600	934590
934600	938100
938210	942200
942220	946330
946340	950260
950300	954150
954160	958720
958740	963000
963010	966610
966630	971620
971640	976360
976390	980190
980210	984170
984220	989000
989010	993520
993530	998490
998570	1002630
