363330	284850,279800,589690,284770,465170,284870,855640,536780,510650,399890,699780,637060,284790,330990,465720,284890
363360	504050,648800,346110,457140,313120,252490,382310,644290,105600,751780,387990,333950,275850,314650,294100,242760,464920,251570,385380,440900,413150,304050,230290,17390,72200,514670,645630,293760,890520,419480,359320,548430,261640,9900,761890,339600,212070,582660,324510,2820,755800,834910
363410	1026160,406550,687260,325120,476650,555950,303310,368370,358090,653530,310360,465520,410890,825630,819030,301380,970570,324160,539660,438130,319630,937170,973760,460430,359390,388880,459820,333600,602520,487430,313740,420110,976390,1003520,583090,644560,744520,844660,481510,658620,990050,447530,589860,315810,345610,326480,668630
363430	263280,645630,957050,234630,750050,266410,805550,365960,241560,787860,552100,585420,2990,6220,263760,12360,24740,44350,493490,255220,515220,397340,230290,530070,446800,277751,1040730,538810,750170,315660,713460,283620,343070,573090,270880,211500
363440	692850,557340,314710,9180,851100,838310,71340,200940,227600,71113,555610,312530,504230,1061090,764790,916730,595790,400910,428550,588650,367520,332200,261570,835430,230700,900270,423230,235460,274170,219150,447530,589780,601150,1010750,885150,525040,366250,32400,502750,411960,996580,411970,253230,237630,213610,71250,3830,355170,292500,312610,268910
363460	645630,284160,451340,552100,750050,690790,313120,244210,605740,530070,24010,387990,616560,636480,1104200,641320,4000,346010,494840,228380,450540,535930,261640,8980,246900,32510,238460,939960,204340,501590,32440,704270,416590,555160,233720,49520,341800,427730,521890,440,22230,201790,3590,327030,291860,728880,236110,880940,405310,24720,518790,378860,234630,271590,306130,269950,270880,468920,314160,211500,200010,499520,787480,506930,292910,239430,232790,265930,225540,397340,517630,201810,8870,350080,1056960,476600,9010,548570,311210,42670,782330,857980,673130,842140,543580,421020,675010,266410,824720,805550,737800,365960,1051200,304530,564310,518920,629730
363490	8500,275850,464920,419480,236150,220200,794270,359320,445220,383840,392160,314650,555160,877200,311210,471710,564310,342180,496240,548430,578080,555880,393380,704270,333640,365360,590380,259680,646570,243970,238910,546430,200510,249050,956450,361420,383120,387990,252490,346110,244850,105600,382310,648800,313120,211820,440900,845590,300570,504210,558990,370360,375820,792100,949790,943190,290020,1054340,367450,402840,363970,506140,346900,438040,564710,777130,610080,547680,842150,462930,1017100,386070,339600,9350,40100,331500,32470,459220,204880,507490,410900,17480,231430,494840,490920,307110,322330,429050,632360,427730,268500,370020,863420,553540,489630,544610,699170,559100,760060,570,201790,345330,65800,444090,386360,844870,305260,444640,238960,212160,109600,578620,611660,620980,418370,722180,676840,768550,403190,751780,569480,294100,455980,900010,323190,427520,233860,1063980,233450
363500	12200,488790,375820,574560,22000,866190,221910,621060,787480,477160,383870,508440,296830,487720,218640,414700,238320,883710,341940,418370,485380,769360,893180,308060,1023870,1029890,495980,752590,48000,622650,773090,253110,532110,94300,1036700,555220,395170,402260,567640,505230,732690,720250,736260,976010,524850,251270,559210,597760,691450,335670,736570,574740,749890,399810,282140,629220,244910,617160,332800,313780,883070,420530,477740,741250,356570,504230,239030,1061090,460950,250760,416680,413420,413410,320240,22180,506610,388090
363510	22380,22370,22300,234140,548570,8980,412020,305620,611660,939960,9200,4500,9900,761890,339600,212070,582660,324510,2820,755800,834910,17390,419480,383120,361420,402710,544550,387990,648800,333950,445220,346110,252490,383840,264710,548430,738520,392160,252870,848450,105600,751780,385380,440900,382310,304050,398170,290300,314230,464920,236150,794270,230290,244030,72200,514670,645630,293760,890520,49520,1085660,440,324800,4000,41070,620,204340,564310,251570,239140,815370,313120,666140,599140,840010,1077890,580200,405710,715050,673950,1097210,751110
363520	382310,361420,385380,383120,648800,322330,251570,304050,387990,252490,244850,313120,294100,413150,455980,876650,356040,386180,374040,366090,253250,1055090,588430,108600,427520,418030,264710,848450,1048950,239140,815370,305620,383840,359320,548430,738520,392160,252870,314650,505230,304650,340490,320240,438740,706020,732690,238320,593600,366220,1059900,402710,327090
363530	346110,648800,418030,252490,233860,361420,294100,751780,264710,848450,366090,1048950,228380,431240,450540,314650,737800,620980,310560,805550,668430,284160,386180,767560,342200,214420,999270,304050,893520,8500,755790,761890,293540,571310,1066260,40700,322190,1050810,843380,252410,523660,1058930,543390,394310,367450,346010,621060,220200,571740,387990,552100,508440,535930,477160,641320,253710,298110,552520,220240,376210,509980,386880,371660,582010,274940,785670,401190,645630,573090,585420,244850,750050,4000,382310,383120,842140,657200,269950,469610,233720,246900,543580,266410,378860,690790,365960,44350,421020,211500,375530,230650,770240,510630,326630,407120,862190,950100,263740,356370,438600,752520,675010,234630,493490,845590,619150,871930,504210,300570,558990,726110,464350,716490
363550	281900,523410,408930,431960,857350,347400,585620,585610,650090,1111020,1024640,1080890,365670,620040,520210,368470,665300,570090,685300,585600,1046770,502570,428340,369190,329890,1102420,220980,366530,365440,253370,443970,362870
363580	645630,613100,750050,293760,868360,493340,255710,320300,451340,538810,24010,641320,332570,728880,32440,880940,405310,285900,32510,238460,204360,21130,647830,341800,388090,332800,506610,319510,354140,418370,489360,505230,57300,238320,414700,617160,733790,918820,475550,761620,680980,1057180,491950,540180,227000,866190,388320,633060,558990,300570,92800,716490,504210,370360,375820,814540,943190,785890,654580,256290,224760,8870,204060,715560,237930,204240,228300,46500,504230,6300,367520,242920,285310,1064540,952230,287980,872060,820910,12900,591460,982290,404680,835430,231160,230700,257510,210970,433340,548570,377160,933450,750920,387290,481510,366320,428550,115800,851100,692850,312520,400630,617830,10130,460650,853770,555880,16450,489940,636480,204450,730,359550,42670,699170,435150,300550,760060,373420,346940,365360,590380,307670,249650,276810,576770,567640,413420,287630,258520,413410,399810,787480,241260,792040,350640,233290,284770
363600	758190,413150,751780,603940,921570,610080,606150,356040,298630,310060,641990,455980,366090,253250,648800,1055090,346110,108600,427520,361420,448280,613100,508440,255710,284160,451340,1031120,450540,227300,750050,293760,868360,320300,538810,24010,453090,726110,809720,285310,57690,492720,591460,703080,464920,457140,403190,900010,648350,774351,105600,211820,666140,304050,697550,253230,813630,1044760,481510,881040,726830,360830,22330,548570,242760,426790,860890,24780,591370,233450,950990,521150,323190,1044200,644930,257170,569480,244210,1044980,675010,516750,787860,289950
363610	6060,474960,24980,6030,55150,209540,45750,861280,226720,437630,6510,238010,436320,232090,42700,10090,476600,550,939510,500,594650,218230,239140,202970,436180,755790,224600,375230,444090,212070,447040,440,460930,113400,857980,548430,529970,463430,396900,541200,480490,208200,1058020,261640,209650,108800,337000,47780,883710,268050,214490,601430,301640,287290,254700,21690,41070,206420,115120,55230,704270,626690,23530,342200,206500,301520,893520,813820,291480,590380,268500,370020,863420,238910,553540,489630,200510,544610,699170,559100,760060,578620,535520,285900,763410,94400,337320,285920,420290,383980,349510,809540,235600,218620,312660,238090,13570,287700,578080,368070,63380,863550
363620	616560,636480,1104200,4000,346010,284160,494840,228380,450540,535930,613100,255710,621060,493340,645630,451340,1031120,227300,431240,485670,725960,272890,772480,1002650,394690,598640,948200,923260,822900,785790,777130,1003520,751440,611790,459820,433340,560380,929010,339800,1051200,304530,564310,246900,501590,629730,842140,416590,233720,49520,341800,427730,521890,261640,440,413150,683320,435400,448510,853550,829660,269950,543580,578620,671620,686810,342180,557340,602960,418370,47890,453090,703080,642090,570840,285740,485040,397270,333600,416870,398100,317300,910630,951000,877200,496240,674020,489940,611660,581320,548570,618500
363650	396900,648050,785260,517710,232910,473770,790020,756700,34190,245490,621970,547360,235800,513510,221640,322170,207750,1013190,247140,620980,531510,636450,893030,618740,2990,641960,895850,514310,707300,459820,736190,333600,925460,751440,885000,502800,862260,760050,441870,535890,274170,63710,219150,444000,247080,810500,716490,454950,254320,370360,469920,949790,400110,1510,684270,206190,726980,405640,697600,945100,1091500,337000,311800,238010,1056960,436320,8980,6920,17580,261640,6910,238210,244870,434660,516130,251630,242820,342650,823730,589670
363670	460950,400910,428550,851100,838310,250760,312520,248310,588650,564150,238460,728880,291550,35700,35720,359840,35130,477160,323850,531510,579840,916730,692850,200900,310700,268910,445980,274190,221810,257750,584400,1061090,764790,387290,481510,366320,115800,683320,400630,332200,350070,1018010,790740,295790,701160,424840,304430,368590,885390,703600,618170,395160,72000,331480,403780,732690,535480,283640,814680,727510,323220,239350,452060,268750,311690,632360,364420,247080,585710,512900
363680	507490,527430,55150,221380,40100,231430,364360,17480,459220,9350,322910,6060,281990,6000,356500,1058020,244160,204880,32440,392110,6020,339600,4700,502370,553210,673880,317620,312450,242570,268500,8930,289130,65980,226840,577230,289070,226860,268400,1025440,779340,214950,712100,325610,34030,10500,4760
363790	423230,235460,332200,851100,274170,219150,447530,589780,601150,535480,692850,400630,283640,814680,727510,387290,592380,698650,531510,731490,755490,311690,248820,237630,377870,400910,428550,835430,838310,312520,248310,564150,841600,401710,241600,323220,239350,718590,250900,247080,753420,1037020,619280,363440,584400,200900,34270,495050,595790,481510,366320,115800,683320,240720,356650,207140,312530,323850,245490,728880,383980,848230,674940,695970,437920,291550,829660,310700,900270,277890,230700,350070,70300,342650,925460,251630,218060,840590,463150,221640,620980,242820,63710
363840	386360,504370,444090,235340,771060,677620,572520,440,552990,394230,1025580,206500,4700,34030,10500,214950,325610,712100,394360,4760,1068220,357310,240,222880,10,291480,393380,581320,218230,242860,218620,202970,418460,736220,4920,453090,233450,446800,774351,648350,24780,860890,242920,1083300,57690,492720,375910,373420,311290,560130,228280,321800,1106660,362960,291650,704450,640820,359870,742120,364360,226840,289130,33930,223750,65780,460930,496240,226860,573410,392110,261470,65980,204880,40400,208140,298050,418250,236850,273070,8930,755790,813820,433850,893520,823130,594650,555440,625340,939510,252490,616560,636480,1104200,641320,448280,4000,346010,284160,494840,228380,450540,535930
363890	365670,919280,266310,251810,857350,408930,369190,329890,685300,1102420,585410,347400,368470,585620,650090,585610,220980
363900	359870,269190,538680,377840,251290,552700,312750,436670,524580,330390,451020,527290,411960,996580,411970,253230,71340,363440,237630,227600,213610,71250,3830,355170,241260,46480,1020270,949800,761460,370910,792040,809050,717610,631570,262850,368370,204880,339600,32470,386070,510500,17480,410900,261470,363680,507490,281610,290790,544330,846470,559630,360830,606710,938510,504230,813630,412790,581270,683320,421120,916900,557600,530320,96000,40700,207690,408280,435400,205020,572760,388450,1009700,918670,993780,886070,663370,771120,338120,1018580,78000,718840,557340,322170,584400,637100,688130,207490,869440,250760,253840,393520,1044760,481510,881040,726830,451340,22330,548570,242760,426790,462770,683760,292120,699170,382900,281640,512900,311690,445980,314410,525620,248820,477160,238460,619780,239350,269210,592380,698650,531510,367520,755490,377870
363920	423230,235460,332200,588650,851100,274170,219150,447530,589780,601150,400910,428550,835430,312520,248310,261570,564150,363440,200900,495050,595790,240720,367520,356650,323850,207140,386940,261180,728880,674940,880940,383980,366250,697660,310700,900270,277890,230700,350070,115800,70300,312990,291550,268910,238460,445980,204360,250180,257750,71340,731490,200940,227600,71113,703620,555610,579840,293780,361350,1018010,290040,1010750,9180,885150,743890,525040,32400,502750
363930	699170,365360,276810,307670,489630,954650,485460,546430,325790,590380,544610,41700,249360,233740,240760,427950,340050,38410,250520,38400,230070,38420,373420,921800,346940,644930,323190,464920,455980,366090,569480,457140,588430,403190,860890,435150,291860,606230,262060,226840,1016730,304930,513710,355840,251570,239140,555570,360170,113420,299740,105600,382310,648800,646570,698640,905490,650940,212680,335620,573120,282070,305620,219740,611760,318600,294100,253250,751780,1055090,346110,427520,361420,939510,594650,351290,247730,433850,809210,706020,241540,914620
